日期,区域,客户,产品,品类,销售额,成本,利润,数量,销售人员
2026-01-05,华东,宏远制造,A100,设备,120000,85000,35000,12,李明
2026-01-18,华南,新洲贸易,B200,耗材,56000,39000,17000,80,周宁
2026-02-09,华东,星河科技,A100,设备,138000,92000,46000,14,李明
2026-02-22,华北,天成集团,C300,软件,88000,28000,60000,22,王珂
2026-03-03,华南,新洲贸易,B200,耗材,62000,41000,21000,90,周宁
2026-03-19,华北,天成集团,D400,服务,42000,18000,24000,6,王珂
2026-04-08,华东,宏远制造,C300,软件,95000,31000,64000,25,李明
2026-04-25,西南,远景零售,A100,设备,71000,54000,17000,7,赵岚
2026-05-11,华南,蓝海电子,D400,服务,52000,21000,31000,8,周宁
2026-05-29,西南,远景零售,B200,耗材,38000,27000,11000,55,赵岚
2026-06-14,华北,天成集团,A100,设备,160000,108000,52000,16,王珂
2026-06-28,华东,星河科技,D400,服务,66000,25000,41000,9,李明
